ss,Unnamed1,name,price,images,rating,product_description,number_of_reviews,name_clean,category_clean
67,385,"(Renewed) Shark ION Robot Vacuum, Wi Fi Connected, Works with Google Assistant, Multi Surface Cleaning, Carpets, Hard Floors",,"['https://m.media-amazon.com/images/I/61bjredmAeL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/61bjredmAeL._AC_SX355_.jpg', 'https://m.media-amazon.com/images/I/61bjredmAeL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/61bjredmAeL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/61bjredmAeL._AC_SX450_.jpg', 'https://m.media-amazon.com/images/I/61bjredmAeL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/61bjredmAeL._AC_SX679_.jpg']",4.1 out of 5,Home & Kitchen › Vacuums & Floor Care › Vacuums › Stick Vacuums & Electric Brooms,"1,076 global ratings","['vacuum', 'ion', 'wi', 'fi', 'carpet', 'connect', 'floor', 'shark', 'robot', 'surfac', 'multi', 'googl', 'hard', 'work', 'renew', 'assist', 'clean']","['vacuum', 'care', 'floor', 'broom', 'kitchen', 'home', 'electr', 'stick']"
68,402,hanmir Small Pour Over Coffee Dripper Stainless Steel Slow Drip Coffee Filter Metal Cone Paperless 3.5 inch,$8.99,"['https://m.media-amazon.com/images/I/71P8j5uGtkL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/71P8j5uGtkL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71P8j5uGtkL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/71P8j5uGtkL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/71P8j5uGtkL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/71P8j5uGtkL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/71P8j5uGtkL._AC_SX522_.jpg']",4.3 out of 5,Small Appliance Parts & Accessories › Coffee & Espresso Machine Parts & Accessories › Coffee Machine Accessories › Coffee Filters › Reusable Filters,214 global ratings,"['steel', 'slow', 'inch', 'filter', 'pour', 'paperless', 'metal', 'dripper', 'coffe', 'cone', 'small', 'hanmir', 'drip', 'stainless']","['applianc', 'reusabl', 'small', 'espresso', 'machin', 'coffe', 'accessori', 'part', 'filter']"
69,411,"Dotlite Copper Ceiling Fan Pull Chain Set, Decorative Totem Fan Pull Chain Pendant Extension, 12 Inches Lighting & Fan Beaded Ball Fan Pull Chain Extender Ornament with Connector, Moon and Sun (2Pack)",$6.99,"['https://m.media-amazon.com/images/I/61TSkC8F29L._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/61TSkC8F29L._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/61TSkC8F29L._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/61TSkC8F29L._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/61TSkC8F29L._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/61TSkC8F29L._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/61TSkC8F29L._AC_SX569_.jpg']",4.8 out of 5,Tools & Home Improvement › Lighting & Ceiling Fans › Ceiling Fans & Accessories › Accessories › Pull Chains,665 global ratings,"['fan', 'connector', 'moon', 'extens', 'ceil', 'bead', 'extend', 'decor', 'ornament', 'totem', 'light', 'ball', 'pendant', 'set', 'pull', 'inch', 'dotlit', 'chain', 'sun', 'copper']","['pull', 'fan', 'tool', 'improv', 'chain', 'home', 'accessori', 'ceil', 'light']"
70,415,"Braun FP3020 12 Cup Food Processor Ultra Quiet Powerful motor, includes 7 Attachment Blades + Chopper and Citrus Juicer , Made in Europe with German Engineering",$199.99,"['https://m.media-amazon.com/images/I/61jjTTNoVvL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/61jjTTNoVvL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/61jjTTNoVvL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/61jjTTNoVvL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/61jjTTNoVvL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/61jjTTNoVvL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/61jjTTNoVvL._AC_SX569_.jpg']",4.6 out of 5,Home & Kitchen › Kitchen & Dining › Small Appliances › Food Processors,"2,278 global ratings","['german', 'made', 'chopper', 'europ', 'food', 'citru', 'ultra', 'juicer', 'blade', 'cup', 'processor', 'engin', 'motor', 'braun', 'power', 'quiet', 'attach', 'includ']","['applianc', 'food', 'kitchen', 'home', 'dine', 'processor', 'small']"
71,419,"Hoover Type N Bag (15-Pack), 4010038N",$14.31,"['https://m.media-amazon.com/images/I/51NIr7rdmHL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/51NIr7rdmHL._AC_SX355_.jpg', 'https://m.media-amazon.com/images/I/51NIr7rdmHL._AC_.jpg', 'https://m.media-amazon.com/images/I/51NIr7rdmHL._AC_SX450_.jpg', 'https://m.media-amazon.com/images/I/51NIr7rdmHL._AC_SX425_.jpg']",4.3 out of 5,Home & Kitchen › Vacuums & Floor Care › Vacuum Parts & Accessories › Bags › Upright Bags,666 global ratings,"['hoover', 'n', 'type', 'bag']","['vacuum', 'care', 'bag', 'floor', 'kitchen', 'home', 'accessori', 'part', 'upright']"
72,423,"Ronco Showtime Large Capacity Rotisserie & BBQ Oven Platinum Edition, Digital Controls, Perfect Preset Rotation Speed, Self-Basting, Auto Shutoff, Includes Multipurpose Basket",$191.51,"['https://m.media-amazon.com/images/I/81Ly58g7YJL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/81Ly58g7YJL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/81Ly58g7YJL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/81Ly58g7YJL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/81Ly58g7YJL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/81Ly58g7YJL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/81Ly58g7YJL._AC_SX679_.jpg']",4.4 out of 5,Home & Kitchen › Kitchen & Dining › Small Appliances › Ovens & Toasters › Rotisseries & Roasters,"2,048 global ratings","['basket', 'ronco', 'bbq', 'rotat', 'capac', 'digit', 'platinum', 'auto', 'shutoff', 'larg', 'rotisseri', 'perfect', 'control', 'showtim', 'multipurpos', 'selfbast', 'preset', 'edit', 'oven', 'speed', 'includ']","['applianc', 'kitchen', 'toaster', 'home', 'dine', 'oven', 'small', 'roaster', 'rotisseri']"
73,425,"10-cup Programmable Coffee Maker with Touch-Screen, Stainless Steel",$44.99,"['https://m.media-amazon.com/images/I/61yeJoqI34L._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/61yeJoqI34L._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/61yeJoqI34L._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/61yeJoqI34L._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/61yeJoqI34L._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/61yeJoqI34L._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/61yeJoqI34L._AC_SX679_.jpg']",4.3 out of 5,"Home & Kitchen › Kitchen & Dining › Coffee, Tea & Espresso › Coffee Makers › Coffee Machines",93 global ratings,"['steel', 'programm', 'maker', 'coffe', 'stainless', 'touchscreen']","['tea', 'maker', 'kitchen', 'home', 'dine', 'coffe', 'espresso', 'machin']"
74,438,"Filterlogic MWF Refrigerator Water Filter, Replacement for GE® Smart Water MWFP, MWFA, GWF, HDX FMG-1, WFC1201, GSE25GSHECSS, PC75009, RWF1060, 197D6321P006, Kenmore 9991, 3 Filters",$31.59,"['https://m.media-amazon.com/images/I/71DV-wXTnFL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/71DV-wXTnFL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/71DV-wXTnFL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71DV-wXTnFL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/71DV-wXTnFL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/71DV-wXTnFL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/71DV-wXTnFL._AC_SY450_.jpg']",4.7 out of 5,Appliances › Parts & Accessories › Refrigerator Parts & Accessories › Water Filters,"1,634 global ratings","['gwf', 'mwf', 'water', 'refriger', 'kenmor', 'replac', 'mwfa', 'filterlog', 'hdx', 'mwfp', 'filter', 'smart']","['applianc', 'water', 'refriger', 'accessori', 'part', 'filter']"
75,439,"NPET EK20 1000W Electric Kettle Glass Tea Kettle With BPA-Free, 1.8L Cordless Portable Water Glass Boiler With LED Light, Auto-Shutoff And Boil-Dry Protection Teapot, Stainless Steel Kettle",,"['https://m.media-amazon.com/images/I/71HiQdCbGPL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/71HiQdCbGPL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/71HiQdCbGPL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/71HiQdCbGPL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/71HiQdCbGPL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/71HiQdCbGPL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71HiQdCbGPL._AC_SX425_.jpg']",4.3 out of 5,"Home & Kitchen › Kitchen & Dining › Coffee, Tea & Espresso › Kettles & Tea Machines › Electric Kettles","1,148 global ratings","['led', 'steel', 'boiler', 'water', 'portabl', 'bpafre', 'tea', 'glass', 'teapot', 'light', 'protect', 'npet', 'electr', 'autoshutoff', 'cordless', 'stainless', 'boildri', 'kettl']","['tea', 'kitchen', 'home', 'dine', 'coffe', 'espresso', 'machin', 'electr', 'kettl']"
76,440,"6252 Great Northern Popcorn Stainless Steel Pit Popper Campfire Firepit Popcorn Popper - Theater Popcorn Outdoors!, 4 quarts",,"['https://m.media-amazon.com/images/I/61YwubmW1sS._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/61YwubmW1sS._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/61YwubmW1sS._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/61YwubmW1sS._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/61YwubmW1sS._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/61YwubmW1sS._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/61YwubmW1sS._AC_SX425_.jpg']",4.4 out of 5,Home & Kitchen › Kitchen & Dining › Small Appliances › Specialty Appliances › Popcorn Poppers,48 global ratings,"['steel', 'great', 'outdoor', 'quart', 'theater', 'popcorn', 'campfir', 'popper', 'pit', 'firepit', 'stainless', 'northern']","['applianc', 'kitchen', 'home', 'dine', 'popcorn', 'specialti', 'small', 'popper']"
77,461,[Pack of 2] 3390719 Dryer Thermal Fuse Replacement Part by BlueStars - Easy to Install - Exact Fit For Whirlpool & Kenmore Dryers - Replaces PS11741444 AP3133489 688841 690198 279650 3389639,$8.27,"['https://m.media-amazon.com/images/I/71thvvZfDoL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/71thvvZfDoL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/71thvvZfDoL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/71thvvZfDoL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/71thvvZfDoL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71thvvZfDoL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/71thvvZfDoL._AC_SY450_.jpg']",4.7 out of 5,Appliances › Parts & Accessories › Dryer Parts & Accessories › Replacement Parts,440 global ratings,"['pack', 'bluestar', 'instal', 'kenmor', 'easi', 'replac', 'fuse', 'dryer', 'whirlpool', 'part', 'thermal', 'fit', 'exact']","['applianc', 'replac', 'dryer', 'accessori', 'part']"
78,462,"BISSELL 2999 MultiClean Allergen Pet Vacuum with HEPA Filter Sealed System, Powerful Cleaning Performance, Specialized Pet Tools, Easy Empty",$195.69,"['https://m.media-amazon.com/images/I/71Nm6-Wz3yL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/71Nm6-Wz3yL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71Nm6-Wz3yL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/71Nm6-Wz3yL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/71Nm6-Wz3yL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/71Nm6-Wz3yL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/71Nm6-Wz3yL._AC_SY450_.jpg']",4.5 out of 5,Home & Kitchen › Vacuums & Floor Care › Vacuums › Upright Vacuums,"2,459 global ratings","['vacuum', 'special', 'bissel', 'pet', 'multiclean', 'hepa', 'tool', 'easi', 'empti', 'perform', 'system', 'seal', 'power', 'filter', 'allergen', 'clean']","['vacuum', 'care', 'floor', 'kitchen', 'home', 'upright']"
79,464,"RUBOT Mini Vacuum, Cordless Handheld Vacuum Cleaner, Ultra-Lightweight 1.15lbs, 6000Pa Powerful Suction Portable Car Vacuum USB Rechargeable with LED Indicator for Home/Car/Office-Misty Blue",$39.99,"['https://m.media-amazon.com/images/I/71fYpB8SJrL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/71fYpB8SJrL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/71fYpB8SJrL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71fYpB8SJrL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/71fYpB8SJrL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/71fYpB8SJrL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/71fYpB8SJrL._AC_SY450_.jpg']",4.2 out of 5,Home & Kitchen › Vacuums & Floor Care › Vacuums › Handheld Vacuums,59 global ratings,"['led', 'vacuum', 'ultralightweight', 'blue', 'portabl', 'mini', 'usb', 'handheld', 'homecarofficemisti', 'rubot', 'car', 'suction', 'recharg', 'cordless', 'indic', 'power', 'cleaner']","['vacuum', 'care', 'floor', 'handheld', 'kitchen', 'home']"
80,467,"COOKTRON 1.7L Quiet Electric Kettle, Double Wall Hot Water Boiler BPA-Free Cool Touch Tea Kettle, Cordless with Auto Shut-Off & Boil Dry Protection, 1500W Fast Boiling, Black",$36.99,"['https://m.media-amazon.com/images/I/61fVl013w2L._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/61fVl013w2L._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/61fVl013w2L._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/61fVl013w2L._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/61fVl013w2L._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/61fVl013w2L._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/61fVl013w2L._AC_SX466_.jpg']",4.5 out of 5,"Home & Kitchen › Kitchen & Dining › Coffee, Tea & Espresso › Kettles & Tea Machines › Electric Kettles",227 global ratings,"['boil', 'black', 'dri', 'electr', 'fast', 'boiler', 'auto', 'kettl', 'touch', 'shutoff', 'protect', 'water', 'cooktron', 'bpafre', 'doubl', 'cool', 'tea', 'hot', 'wall', 'cordless', 'quiet']","['tea', 'kitchen', 'home', 'dine', 'coffe', 'espresso', 'machin', 'electr', 'kettl']"
81,468,"Wintcomfort Window Air Conditioner Bracket, Heavy Duty AC Support with 2 Arms, Up to 200 lbs, Universal Fit 5,000 to 22,000 BTU Window Units",$37.99,"['https://m.media-amazon.com/images/I/51Mk48xVdjL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/51Mk48xVdjL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/51Mk48xVdjL._AC_SX385_.jpg', 'https://m.media-amazon.com/images/I/51Mk48xVdjL._AC_SX342_.jpg', 'https://m.media-amazon.com/images/I/51Mk48xVdjL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/51Mk48xVdjL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/51Mk48xVdjL._AC_SX425_.jpg']",5 out of 5,"Home & Kitchen › Heating, Cooling & Air Quality › Parts & Accessories › Air Conditioner Parts & Accessories › Accessories",1 global rating,"['lb', 'condition', 'heavi', 'support', 'univers', 'btu', 'duti', 'ac', 'window', 'wintcomfort', 'bracket', 'fit', 'air', 'unit', 'arm']","['qualiti', 'condition', 'kitchen', 'part', 'heat', 'home', 'accessori', 'cool', 'air']"
82,472,"LINNIW 6 Pack Replacement HEPA Filter Compatible for MOOSOO K17 Cordless Vacuum, Not for K17 Pro (6 HEPA Filter & 6 Strainer Screen)",$13.99,"['https://m.media-amazon.com/images/I/71dVksDKCzL._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/71dVksDKCzL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/71dVksDKCzL._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/71dVksDKCzL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/71dVksDKCzL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71dVksDKCzL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/71dVksDKCzL._AC_SX425_.jpg']",4.6 out of 5,Janitorial & Sanitation Supplies › Vacuums & Floor Cleaning Machines › Vacuum Parts & Accessories › Vacuum Filters › Upright Filters,952 global ratings,"['pack', 'compat', 'vacuum', 'screen', 'hepa', 'replac', 'pro', 'linniw', 'moosoo', 'cordless', 'strainer', 'filter']","['janitori', 'vacuum', 'suppli', 'floor', 'machin', 'accessori', 'part', 'upright', 'sanit', 'filter', 'clean']"
83,478,"Melitta 640616 Coffee Maker, 52 oz, Glass Carafe",$22.44,"['https://m.media-amazon.com/images/I/71QX3QG2m3L._AC_SY550_.jpg', 'https://m.media-amazon.com/images/I/71QX3QG2m3L._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/71QX3QG2m3L._AC_SY741_.jpg', 'https://m.media-amazon.com/images/I/71QX3QG2m3L._AC_SY679_.jpg', 'https://m.media-amazon.com/images/I/71QX3QG2m3L._AC_SY879_.jpg', 'https://m.media-amazon.com/images/I/71QX3QG2m3L._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/71QX3QG2m3L._AC_SY606_.jpg']",4.8 out of 5,"Home & Kitchen › Kitchen & Dining › Coffee, Tea & Espresso › Coffee Makers › Pour Over Coffee Makers","1,557 global ratings","['glass', 'maker', 'oz', 'coffe', 'caraf', 'melitta']","['tea', 'maker', 'kitchen', 'pour', 'home', 'dine', 'coffe', 'espresso']"
84,481,"Blendtec WildSide+ 3 Quart Jar (90 oz), Five Sided, Professional/Commercial Grade Blender Jar, Soft Lid, BPA-free, Clear",$146.62,"['https://m.media-amazon.com/images/I/614mrp79yEL._SX425_.jpg', 'https://m.media-amazon.com/images/I/614mrp79yEL._SX385_.jpg', 'https://m.media-amazon.com/images/I/614mrp79yEL._SX466_.jpg', 'https://m.media-amazon.com/images/I/614mrp79yEL._SX342_.jpg', 'https://m.media-amazon.com/images/I/614mrp79yEL._SX522_.jpg']",4.6 out of 5,Home & Kitchen › Kitchen & Dining › Small Appliance Parts & Accessories › Blender Replacement Parts,422 global ratings,"['lid', 'grade', 'blender', 'professionalcommerci', 'soft', 'bpafre', 'five', 'quart', 'side', 'wildsid', 'oz', 'jar', 'blendtec', 'clear']","['applianc', 'blender', 'replac', 'kitchen', 'part', 'home', 'dine', 'accessori', 'small']"
85,491,"Anker Portable Charger PowerCore 20100mAh - Ultra High Capacity Power Bank with 4.8A Output, External Battery Pack for iPhone, iPad & Samsung Galaxy & More (White)",,"['https://m.media-amazon.com/images/I/613S7cZ+BFL._AC_SX342_.jpg', 'https://m.media-amazon.com/images/I/613S7cZ+BFL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/613S7cZ+BFL._AC_SX385_.jpg', 'https://m.media-amazon.com/images/I/613S7cZ+BFL._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/613S7cZ+BFL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/613S7cZ+BFL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/613S7cZ+BFL._AC_SX466_.jpg']",4.7 out of 5,"Cell Phones & Accessories › Accessories › Maintenance, Upkeep & Repairs › Replacement Parts › Batteries","50,240 global ratings","['output', 'extern', 'pack', 'galaxi', 'white', 'ipad', 'portabl', 'high', 'ultra', 'powercor', 'power', 'anker', 'bank', 'samsung', 'batteri', 'iphon', 'charger', 'capac']","['repair', 'upkeep', 'mainten', 'replac', 'accessori', 'part', 'batteri', 'cell', 'phone']"
86,492,MFi Certified iPhone Charger 2022 Upgrade 3Pack 10FT Lightning Cable Fast Charging Nylon Braided Syncing Long Cord Compatible with iPhone 13/12/11/Pro/XS/Max/XR/X/8/8P/7 and More,,"['https://m.media-amazon.com/images/I/71pM9H4JTWL._SX466_.jpg', 'https://m.media-amazon.com/images/I/71pM9H4JTWL._SX425_.jpg', 'https://m.media-amazon.com/images/I/71pM9H4JTWL._SX522_.jpg', 'https://m.media-amazon.com/images/I/71pM9H4JTWL._SX342_.jpg', 'https://m.media-amazon.com/images/I/71pM9H4JTWL._SX385_.jpg']",4.6 out of 5,Electronics › Computers & Accessories › Computer Accessories & Peripherals › Cables & Accessories › Cables & Interconnects › Lightning Cables,896 global ratings,"['cord', 'sync', 'compat', 'upgrad', 'charg', 'mfi', 'nylon', 'braid', 'lightn', 'fast', 'iphon', 'cabl', 'charger', 'long', 'certifi']","['electron', 'interconnect', 'peripher', 'comput', 'lightn', 'accessori', 'cabl']"
87,493,"Tablet 10 inch Android Tablet, Android 10.0 Tablet Quad-Core Processor 32GB Storage Tablet Computer, 2GB RAM, 8MP Camera, Long Battery Life (Black)",$79.99,"['https://m.media-amazon.com/images/I/61ZHdekAGAS._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/61ZHdekAGAS._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/61ZHdekAGAS._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/61ZHdekAGAS._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/61ZHdekAGAS._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/61ZHdekAGAS._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/61ZHdekAGAS._AC_SX522_.jpg']",3.9 out of 5,Electronics › Computers & Accessories › Computers & Tablets › Tablets,"1,519 global ratings","['inch', 'black', 'life', 'camera', 'storag', 'android', 'quadcor', 'tablet', 'comput', 'processor', 'ram', 'batteri', 'long']","['tablet', 'comput', 'electron', 'accessori']"
88,499,"Amazon Basics 64GB microSDXC Memory Card with Full Size Adapter, A2, U3, read speed up to 100 MB/s, 2-Pack",$19.46,"['https://m.media-amazon.com/images/I/71tQmlOI+OL._AC_SY450_PIbundle-2,TopRight,0,0_SH20_.jpg', 'https://m.media-amazon.com/images/I/71tQmlOI+OL._AC_SX522_PIbundle-2,TopRight,0,0_SH20_.jpg', 'https://m.media-amazon.com/images/I/71tQmlOI+OL._AC_SY355_PIbundle-2,TopRight,0,0_SH20_.jpg', 'https://m.media-amazon.com/images/I/71tQmlOI+OL._AC_SX425_PIbundle-2,TopRight,0,0_SH20_.jpg', 'https://m.media-amazon.com/images/I/71tQmlOI+OL._AC_SX679_PIbundle-2,TopRight,0,0_SH20_.jpg', 'https://m.media-amazon.com/images/I/71tQmlOI+OL._AC_SX466_PIbundle-2,TopRight,0,0_SH20_.jpg', 'https://m.media-amazon.com/images/I/71tQmlOI+OL._AC_SX569_PIbundle-2,TopRight,0,0_SH20_.jpg']",4.7 out of 5,Electronics › Computers & Accessories › Computer Accessories & Peripherals › Memory Cards › Micro SD Cards,"5,786 global ratings","['mb', 'full', 'size', 'card', 'basic', 'adapt', 'memori', 'read', 'microsdxc', 'speed', 'amazon']","['micro', 'sd', 'card', 'electron', 'memori', 'peripher', 'comput', 'accessori']"
89,514,"Temdan for Samsung Galaxy S22 Ultra Case Waterproof, Built in Screen Protector 360° Full Body Heavy Duty Shockproof IP68 Waterproof Galaxy S22 Ultra Case for Samsung S22 Ultra 5G 6.8 inch",$23.99,"['https://m.media-amazon.com/images/I/71BxFojdSIL._AC_SX385_.jpg', 'https://m.media-amazon.com/images/I/71BxFojdSIL._AC_SX466_.jpg', 'https://m.media-amazon.com/images/I/71BxFojdSIL._AC_SX342_.jpg', 'https://m.media-amazon.com/images/I/71BxFojdSIL._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/71BxFojdSIL._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/71BxFojdSIL._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/71BxFojdSIL._AC_SX569_.jpg']",4.3 out of 5,"Cell Phones & Accessories › Cases, Holsters & Sleeves › Basic Cases","2,816 global ratings","['temdan', 'inch', 'screen', 'case', 'full', 'heavi', 'ultra', 'duti', 'samsung', 'bodi', 'waterproof', 'protector', 'built', 'shockproof', 'galaxi']","['case', 'holster', 'sleev', 'basic', 'accessori', 'cell', 'phone']"
90,517,"SK hynix Gold S31 1TB SATA Gen3 2.5 inch Internal SSD | SSD 1TB | Up to 560MB/S | Solid State Drive | Compact 2.5"" SSD Form Factor SK hynix SSD | Internal Solid State Drive | SATA SSD",$97.99,"['https://m.media-amazon.com/images/I/81sYr0sEbML._AC_SX569_.jpg', 'https://m.media-amazon.com/images/I/81sYr0sEbML._AC_SX425_.jpg', 'https://m.media-amazon.com/images/I/81sYr0sEbML._AC_SY355_.jpg', 'https://m.media-amazon.com/images/I/81sYr0sEbML._AC_SX522_.jpg', 'https://m.media-amazon.com/images/I/81sYr0sEbML._AC_SY450_.jpg', 'https://m.media-amazon.com/images/I/81sYr0sEbML._AC_SX679_.jpg', 'https://m.media-amazon.com/images/I/81sYr0sEbML._AC_SX466_.jpg']",4.7 out of 5,Electronics › Computers & Accessories › Data Storage › Internal Solid State Drives,"14,852 global ratings","['form', 'inch', 'compact', 'ssd', 'sk', 'hynix', 'factor', 'intern', 'state', 'gold', 'drive', 'solid', 'sata']","['data', 'storag', 'electron', 'comput', 'intern', 'state', 'accessori', 'drive', 'solid']"
91,519,"[3 Pack 10FT] PS4 Controller Charger Charging Cable Nylon Braided Micro USB High Speed Data Sync Cord Compatible with Playstation 4, PS4, Xbox One S/X Controller, Android Phones (Black&Blue&Red)",$14.97,"['https://m.media-amazon.com/images/I/71VxMoGjc7L._SX385_.jpg', 'https://m.media-amazon.com/images/I/71VxMoGjc7L._SX522_.jpg', 'https://m.media-amazon.com/images/I/71VxMoGjc7L._SX425_.jpg', 'https://m.media-amazon.com/images/I/71VxMoGjc7L._SX466_.jpg', 'https://m.media-amazon.com/images/I/71VxMoGjc7L._SX342_.jpg']",4.6 out of 5,Video Games › PlayStation 4 › Accessories › Cables & Adapters › Cables,"12,710 global ratings","['cord', 'pack', 'black', 'sx', 'high', 'braid', 'playstat', 'compat', 'blue', 'cabl', 'usb', 'xbox', 'android', 'charg', 'nylon', 'sync', 'charger', 'phone', 'control', 'data', 'micro', 'red', 'one', 'speed']","['adapt', 'accessori', 'cabl', 'video', 'playstat', 'game']"
